         3068216 function calls (3061514 primitive calls) in 39.941 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000   39.941   39.941 {built-in method builtins.exec}
        1    0.000    0.000   39.941   39.941 <string>:1(<module>)
        1    0.004    0.004   39.941   39.941 interactiveshell.py:2884(safe_run_module)
        1    0.000    0.000   39.937   39.937 runpy.py:195(run_module)
        1    0.000    0.000   39.937   39.937 runpy.py:88(_run_module_code)
        1    0.000    0.000   39.937   39.937 runpy.py:62(_run_code)
        1    0.000    0.000   39.937   39.937 pascal_run_competing_saliency_librecam.py:5(<module>)
        1    0.000    0.000   39.934   39.934 pascal_run_competing_saliency_librecam.py:247(main)
        1    0.000    0.000   37.668   37.668 pascal_run_competing_saliency_librecam.py:189(run_gpnn_gradcam)
        1    0.032    0.032   32.662   32.662 gpnn_gradcam.py:87(main)
       10    0.001    0.000   32.359    3.236 gpnn_gradcam.py:26(augmentation_attribution)
       10    0.039    0.004   30.601    3.060 my_gpnn.py:285(run)
     1000    0.737    0.001   30.242    0.030 my_gpnn.py:541(PNN_faiss)
    10300    0.081    0.000   14.484    0.001 aggregation.py:10(combine_patches)
    10300    0.267    0.000   14.284    0.001 distance_aggregation.py:73(aggregate)
     1000    0.009    0.000    9.600    0.010 nearest_neighbors.py:180(get_nearest_neighbors_of_subset)
     1000    0.176    0.000    9.591    0.010 nearest_neighbors.py:144(get_nearest_neighbors_batched)
     2400    3.322    0.001    9.368    0.004 nearest_neighbors.py:98(get_nearest_neighbors)
    10000    1.585    0.000    7.079    0.001 distance_aggregation.py:37(normalize_weights_)
     2400    0.045    0.000    5.825    0.002 torch_utils.py:204(torch_replacement_search)
     2400    0.004    0.000    5.355    0.002 swigfaiss_avx2.py:10370(search)
     2400    5.351    0.002    5.351    0.002 {built-in method faiss._swigfaiss_avx2.GpuIndex_search}
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
    10000    1.743    0.000    3.636    0.000 distance_aggregation.py:5(get_weights_from_distance)
    10300    1.010    0.000    3.058    0.000 distance_aggregation.py:60(weighted_fold)
        1    0.000    0.000    2.202    2.202 pascal_run_competing_saliency_librecam.py:279(get_model)
    40300    0.203    0.000    2.199    0.000 functional.py:4672(fold)
    32300    0.134    0.000    2.145    0.000 functional.py:4643(unfold)
        1    0.034    0.034    2.068    2.068 vgg.py:285(vgg16_bn)
      300    0.047    0.000    2.052    0.007 nearest_neighbors.py:15(create_index)
    10000    1.780    0.000    1.780    0.000 {built-in method torch.allclose}
    32300    1.694    0.000    1.694    0.000 {built-in method torch._C._nn.im2col}
       16    0.000    0.000    1.596    0.100 init.py:366(kaiming_uniform_)
       32    1.595    0.050    1.595    0.050 {method 'uniform_' of 'torch._C._TensorBase' objects}
    12300    0.148    0.000    1.523    0.000 my_gpnn.py:895(extract_patches)
       60    0.001    0.000    1.511    0.025 torch_utils.py:184(torch_replacement_train)
       60    0.000    0.000    1.501    0.025 swigfaiss_avx2.py:10946(train)
       60    1.501    0.025    1.501    0.025 {built-in method faiss._swigfaiss_avx2.GpuIndexIVFFlat_train}
    40300    1.371    0.000    1.371    0.000 {built-in method torch._C._nn.col2im}
        1    0.000    0.000    1.361    1.361 vgg.py:94(__init__)
        3    0.000    0.000    1.360    0.453 linear.py:90(__init__)
        3    0.000    0.000    1.360    0.453 linear.py:103(reset_parameters)
     1000    0.027    0.000    1.268    0.001 my_gpnn.py:557(<listcomp>)
     1300    0.005    0.000    1.266    0.001 my_gpnn.py:875(get_feats)
     1300    0.015    0.000    1.261    0.001 my_gpnn.py:864(get_pca_feats)
       10    0.029    0.003    1.182    0.118 saliency_for_gpnn_gradcam.py:386(get_saliency)
      300    0.022    0.000    1.064    0.004 pca.py:29(fit)
      300    0.005    0.000    1.024    0.003 _lowrank.py:191(pca_lowrank)
      300    0.009    0.000    1.018    0.003 _lowrank.py:140(_svd_lowrank)
   330765    0.368    0.000    0.911    0.000 utils.py:8(parse)
    44242    0.793    0.000    0.793    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
       11    0.000    0.000    0.699    0.064 saliency_for_gpnn_gradcam.py:21(get_cams)
       11    0.000    0.000    0.684    0.062 libre_gradcam.py:200(__call__)
       11    0.079    0.007    0.684    0.062 libre_gradcam.py:129(forward)
    30301    0.633    0.000    0.633    0.000 {method 'any' of 'torch._C._TensorBase' objects}
398566/396380    0.263    0.000    0.571    0.000 {built-in method builtins.isinstance}
      300    0.530    0.002    0.530    0.002 {built-in method torch._C._linalg.linalg_svd}
    76311    0.515    0.000    0.515    0.000 {method 'permute' of 'torch._C._TensorBase' objects}
      300    0.021    0.000    0.454    0.002 _lowrank.py:14(get_approximate_basis)
    30300    0.451    0.000    0.451    0.000 {method 'isnan' of 'torch._C._TensorBase' objects}
       30    0.004    0.000    0.439    0.015 saliency_for_gpnn_gradcam.py:277(unpermute_map_old)
    20051    0.435    0.000    0.435    0.000 {built-in method torch.ones_like}
       10    0.003    0.000    0.402    0.040 my_gpnn.py:33(__init__)
       60    0.001    0.000    0.395    0.007 torch_utils.py:131(torch_replacement_add_with_ids)
       60    0.000    0.000    0.384    0.006 swigfaiss_avx2.py:10355(add_with_ids)
       60    0.384    0.006    0.384    0.006 {built-in method faiss._swigfaiss_avx2.GpuIndex_add_with_ids}
    14410    0.379    0.000    0.379    0.000 {method 'min' of 'torch._C._TensorBase' objects}
    16481    0.358    0.000    0.358    0.000 {built-in method builtins.print}
  210/110    0.002    0.000    0.352    0.003 utils.py:314(fixed_func)
      120    0.000    0.000    0.352    0.003 pyramids.py:177(pyramid_gaussian)
        1    0.000    0.000    0.349    0.349 hub.py:667(load_state_dict_from_url)
        1    0.000    0.000    0.349    0.349 serialization.py:653(load)
        1    0.000    0.000    0.349    0.349 serialization.py:815(_legacy_load)
    10300    0.348    0.000    0.348    0.000 {built-in method torch.tile}
      100    0.001    0.000    0.345    0.003 pyramids.py:32(pyramid_reduce)
       84    0.343    0.004    0.343    0.004 {method '_set_from_file' of 'torch._C.StorageBase' objects}
    40825    0.342    0.000    0.342    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    20040    0.327    0.000    0.327    0.000 {method 'float' of 'torch._C._TensorBase' objects}
    10000    0.323    0.000    0.323    0.000 {method 'std' of 'torch._C._TensorBase' objects}
     2100    0.321    0.000    0.321    0.000 {built-in method torch._C._linalg.linalg_qr}
   331567    0.138    0.000    0.303    0.000 abc.py:96(__instancecheck__)
       41    0.000    0.000    0.295    0.007 _tensor.py:429(backward)
       41    0.000    0.000    0.294    0.007 __init__.py:103(backward)
       41    0.292    0.007    0.292    0.007 {method 'run_backward' of 'torch._C._EngineBase' objects}
       94    0.274    0.003    0.274    0.003 {method 'cpu' of 'torch._C._TensorBase' objects}
      100    0.004    0.000    0.260    0.003 _warps.py:72(resize)
        1    0.000    0.000    0.250    0.250 vgg.py:162(make_layers)
      529    0.003    0.000    0.249    0.000 std.py:1478(display)
       13    0.000    0.000    0.242    0.019 conv.py:431(__init__)
       13    0.001    0.000    0.242    0.019 conv.py:71(__init__)
       13    0.000    0.000    0.237    0.018 conv.py:146(reset_parameters)
    27301    0.226    0.000    0.226    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
      100    0.004    0.000    0.224    0.002 _interpolation.py:694(zoom)
     1210    0.004    0.000    0.222    0.000 std.py:1174(__iter__)
     5524    0.011    0.000    0.218    0.000 {built-in method builtins.next}
      100    0.211    0.002    0.211    0.002 {built-in method scipy.ndimage._nd_image.zoom_shift}
     5520    0.025    0.000    0.207    0.000 torch_utils.py:67(using_stream)
      419    0.002    0.000    0.203    0.000 std.py:1339(refresh)
        1    0.198    0.198    0.198    0.198 {built-in method posix.system}
   662/14    0.007    0.000    0.195    0.014 module.py:1188(_call_impl)
       12    0.000    0.000    0.194    0.016 vgg.py:110(forward)
       24    0.001    0.000    0.192    0.008 container.py:202(forward)
     2761    0.004    0.000    0.191    0.000 contextlib.py:108(__enter__)
       30    0.000    0.000    0.189    0.006 saliency_for_gpnn_gradcam.py:222(permute)
       30    0.008    0.000    0.188    0.006 saliency_for_gpnn_gradcam.py:238(permute_using_I)
       10    0.000    0.000    0.171    0.017 memory.py:113(empty_cache)
       10    0.171    0.017    0.171    0.017 {built-in method torch._C._cuda_emptyCache}
   331567    0.165    0.000    0.165    0.000 {built-in method _abc._abc_instancecheck}
      731    0.158    0.000    0.158    0.000 {method 'to' of 'torch._C._TensorBase' objects}
      309    0.004    0.000    0.157    0.001 std.py:1212(update)
    15690    0.154    0.000    0.154    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
     1347    0.002    0.000    0.148    0.000 utils.py:333(disp_len)
      529    0.003    0.000    0.146    0.000 std.py:1164(__str__)
     1347    0.003    0.000    0.144    0.000 utils.py:329(_text_width)
     1347    0.032    0.000    0.142    0.000 {built-in method builtins.sum}
      529    0.033    0.000    0.138    0.000 std.py:355(format_meter)
        2    0.000    0.000    0.134    0.067 module.py:883(to)
    110/2    0.031    0.000    0.134    0.067 module.py:639(_apply)
     1300    0.125    0.000    0.125    0.000 pca.py:60(transform)
    32003    0.124    0.000    0.124    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
      246    0.123    0.000    0.123    0.000 {built-in method torch.conv2d}
    10000    0.120    0.000    0.120    0.000 {built-in method torch.exp}
      156    0.001    0.000    0.119    0.001 conv.py:462(forward)
     5160    0.031    0.000    0.118    0.000 torch_utils.py:46(swig_ptr_from_FloatTensor)
      156    0.001    0.000    0.118    0.001 conv.py:454(_conv_forward)
     2400    0.005    0.000    0.110    0.000 _linalg_utils.py:33(matmul)
   167696    0.072    0.000    0.109    0.000 utils.py:330(<genexpr>)
     2491    0.108    0.000    0.108    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
     3060    0.104    0.000    0.104    0.000 {built-in method torch.stack}
     2041    0.103    0.000    0.103    0.000 {method 'max' of 'torch._C._TensorBase' objects}
      194    0.000    0.000    0.100    0.001 module.py:983(convert)
     2760    0.014    0.000    0.099    0.000 __init__.py:582(current_stream)
     2400    0.098    0.000    0.098    0.000 {built-in method torch.matmul}
     7630    0.035    0.000    0.086    0.000 _tensor.py:251(storage)
      529    0.002    0.000    0.084    0.000 std.py:348(print_status)
      100    0.001    0.000    0.080    0.001 pyramids.py:11(_smooth)
      100    0.002    0.000    0.075    0.001 filters.py:16(gaussian)
        1    0.000    0.000    0.074    0.074 module.py:1599(load_state_dict)
     55/1    0.001    0.000    0.074    0.074 module.py:1637(load)
    11018    0.071    0.000    0.071    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
       55    0.002    0.000    0.070    0.001 module.py:1505(_load_from_state_dict)
    10000    0.042    0.000    0.068    0.000 __init__.py:2069(debug)
     3090    0.011    0.000    0.067    0.000 _tensor.py:906(__iter__)
       97    0.066    0.001    0.066    0.001 {method 'copy_' of 'torch._C._TensorBase' objects}
      110    0.003    0.000    0.066    0.001 std.py:846(__init__)
      100    0.002    0.000    0.066    0.001 _filters.py:279(gaussian_filter)
      409    0.001    0.000    0.064    0.000 utils.py:341(disp_trim)
      200    0.001    0.000    0.062    0.000 _filters.py:211(gaussian_filter1d)
      220    0.002    0.000    0.060    0.000 std.py:1279(close)
     2760    0.010    0.000    0.059    0.000 _utils.py:7(_get_device_index)
     4858    0.058    0.000    0.058    0.000 {built-in method torch.empty}
      200    0.002    0.000    0.052    0.000 _filters.py:84(correlate1d)
      240    0.004    0.000    0.052    0.000 torch_utils.py:111(torch_replacement_add)
      200    0.048    0.000    0.048    0.000 {built-in method scipy.ndimage._nd_image.correlate1d}
     2013    0.047    0.000    0.047    0.000 {built-in method torch.zeros}
     3090    0.047    0.000    0.047    0.000 {method 'unbind' of 'torch._C._TensorBase' objects}
     5520    0.005    0.000    0.047    0.000 swigfaiss_avx2.py:1078(setDefaultStream)
        1    0.001    0.001    0.046    0.046 glob.py:10(glob)
     2760    0.007    0.000    0.046    0.000 _utils.py:591(_get_device_index)
     5001    0.004    0.000    0.045    0.000 glob.py:40(_iglob)
       30    0.001    0.000    0.044    0.001 saliency_for_gpnn_gradcam.py:244(<listcomp>)
     5520    0.041    0.000    0.041    0.000 {built-in method faiss._swigfaiss_avx2.GpuResources_setDefaultStream}
     2761    0.010    0.000    0.041    0.000 contextlib.py:117(__exit__)
        2    0.000    0.000    0.041    0.020 manage_plugins.py:171(call_plugin)
     1300    0.040    0.000    0.040    0.000 {built-in method torch.index_select}
     2460    0.010    0.000    0.039    0.000 torch_utils.py:60(swig_ptr_from_IndicesTensor)
        1    0.000    0.000    0.038    0.038 utils.py:17(img_save)
        1    0.000    0.000    0.038    0.038 _io.py:101(imsave)
   166349    0.037    0.000    0.037    0.000 {built-in method unicodedata.east_asian_width}
        1    0.000    0.000    0.037    0.037 v2.py:232(imwrite)
     2760    0.004    0.000    0.036    0.000 _utils.py:565(_get_current_device_index)
        1    0.000    0.000    0.036    0.036 legacy_plugin_wrapper.py:167(write)
        1    0.000    0.000    0.035    0.035 format.py:565(append_data)
        1    0.000    0.000    0.035    0.035 pillow_legacy.py:453(_append_data)
        1    0.000    0.000    0.034    0.034 pillow_legacy.py:365(_append_data)
    81258    0.034    0.000    0.034    0.000 {built-in method torch._C._has_torch_function_unary}
        1    0.000    0.000    0.034    0.034 Image.py:2346(save)
        1    0.000    0.000    0.034    0.034 PngImagePlugin.py:1242(_save)
       17    0.034    0.002    0.034    0.002 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.034    0.034 ImageFile.py:499(_save)
        1    0.000    0.000    0.034    0.034 ImageFile.py:527(_encode_tile)
    11040    0.011    0.000    0.033    0.000 __init__.py:550(current_device)
 1262/834    0.009    0.000    0.033    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       10    0.001    0.000    0.033    0.003 my_gpnn.py:138(<listcomp>)
     2760    0.007    0.000    0.032    0.000 _utils.py:555(_get_device_attr)
       90    0.002    0.000    0.031    0.000 pyramid.py:233(pyrdown)
      156    0.002    0.000    0.027    0.000 batchnorm.py:137(forward)
     7724    0.019    0.000    0.025    0.000 storage.py:384(__init__)
        1    0.001    0.001    0.025    0.025 glob.py:81(_glob1)
     2243    0.013    0.000    0.024    0.000 module.py:1272(__setattr__)
      156    0.001    0.000    0.024    0.000 functional.py:2419(batch_norm)
     2514    0.002    0.000    0.024    0.000 utils.py:143(inner)
      156    0.023    0.000    0.023    0.000 {built-in method torch.batch_norm}
    10000    0.012    0.000    0.022    0.000 __init__.py:1412(debug)
      624    0.004    0.000    0.022    0.000 layers.py:13(forward_hook)
    13800    0.008    0.000    0.021    0.000 __init__.py:201(_lazy_init)
       10    0.000    0.000    0.020    0.002 saliency_for_gpnn_gradcam.py:519(<dictcomp>)
       60    0.000    0.000    0.020    0.000 saliency_for_gpnn_gradcam.py:12(<lambda>)
     7724    0.016    0.000    0.020    0.000 storage.py:317(__new__)
       90    0.002    0.000    0.019    0.000 filter.py:32(filter2d)
     2760    0.010    0.000    0.018    0.000 streams.py:31(__new__)
      240    0.000    0.000    0.018    0.000 swigfaiss_avx2.py:10471(add)
     1370    0.018    0.000    0.018    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      240    0.017    0.000    0.017    0.000 {built-in method faiss._swigfaiss_avx2.GpuIndexFlat_add}
     5031    0.011    0.000    0.017    0.000 posixpath.py:71(join)
34576/34575    0.013    0.000    0.017    0.000 {built-in method builtins.len}
        1    0.005    0.005    0.016    0.016 fnmatch.py:48(filter)
      618    0.004    0.000    0.015    0.000 std.py:1455(moveto)
       11    0.002    0.000    0.015    0.001 module.py:1956(zero_grad)
      860    0.015    0.000    0.015    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      100    0.001    0.000    0.015    0.000 _warps.py:692(_clip_warp_output)
      529    0.002    0.000    0.014    0.000 std.py:342(fp_write)
      295    0.014    0.000    0.014    0.000 {built-in method torch.tensor}
     2761    0.004    0.000    0.013    0.000 contextlib.py:238(helper)
       30    0.003    0.000    0.013    0.000 saliency_for_gpnn_gradcam.py:254(<listcomp>)
     3937    0.010    0.000    0.013    0.000 {method 'format' of 'str' objects}
     2760    0.002    0.000    0.013    0.000 _utils.py:567(<lambda>)
    13810    0.008    0.000    0.013    0.000 __init__.py:158(is_initialized)
    10654    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x561d46756ac0}
       12    0.000    0.000    0.012    0.001 module.py:1914(eval)
   660/12    0.002    0.000    0.012    0.001 module.py:1892(train)
     2760    0.003    0.000    0.011    0.000 _utils.py:546(_get_available_device_type)
      180    0.001    0.000    0.011    0.000 my_gpnn.py:27(resize_bhwc)
       11    0.000    0.000    0.011    0.001 libre_gradcam.py:11(__init__)
      271    0.003    0.000    0.011    0.000 functional.py:3769(interpolate)
     1018    0.003    0.000    0.011    0.000 _collections_abc.py:657(get)
      330    0.011    0.000    0.011    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
    10001    0.011    0.000    0.011    0.000 __init__.py:1677(isEnabledFor)
     2760    0.002    0.000    0.010    0.000 swigfaiss_avx2.py:10329(getResources)
      202    0.010    0.000    0.010    0.000 {resize}
      300    0.010    0.000    0.010    0.000 {built-in method torch.arange}
      310    0.010    0.000    0.010    0.000 {built-in method torch.randn}
      300    0.010    0.000    0.010    0.000 {method 'matmul' of 'torch._C._TensorBase' objects}
     1020    0.010    0.000    0.010    0.000 {method 'flatten' of 'torch._C._TensorBase' objects}
      375    0.002    0.000    0.009    0.000 fromnumeric.py:69(_wrapreduction)
      210    0.000    0.000    0.009    0.000 utils.py:58(get_stack_length)
